SMARTS,Description
"[OH]-[C](=[O])-a1aa(-[NX3;!$(NC=O);!$(N(O)C=O);!$(N=O);!$(NS=O)])aaa1",N in -meta position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[NX3;!$(NC=O);!$(N(O)C=O);!$(N=O);!$(NS=O)])aaaa1",N in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aaa(-[NX3;$(NC=O),$(N(O)C=O),$(NS=O)])aa1",amide N in -para position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aa(-[NX3;$(NC=O),$(N(O)C=O),$(NS=O)])aaa1",amide N in -meta position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[NX3;$(NC=O),$(N(O)C=O),$(NS=O)])aaaa1",amide N in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aaa(-[O])aa1",O in -para position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aa(-[O])aaa1",O in -meta position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[O])aaaa1",O in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aaa(-[N+](=[O])-[O-])aa1",NO2 in -para position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1aa(-[N+](=[O])-[O-])aaa1",NO2 in -meta position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[N+](=[O])-[O-])aaaa1",NO2 in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1naaaa1",N - ortho aromatic N in aromatic 6-membered aromatic ring
"[OH]-[C](=[O])-a1anaaa1",N - meta aromatic N in aromatic 6-membered aromatic ring
"[OH]-[C](=[O])-a1aanaa1",N - para aromatic N in aromatic 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[*])aaaa1",any atom in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[*][*])aaaa1", * - * in -orto position across 6-membered aromatic ring
"[OH]-[C](=[O])-a1a(-[*]([*])[*])aaaa1", *-*(-*) in -orto position across 6-membered aromatic ring
